,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
809,BD-10 3166 b,0,39508.7798,-9.229614999999999,164.61991596502924,70.52015241952618,65.19
810,omi CrB b,0,55208.55879,29.616208,230.0356618090285,103.71039531220863,82.8
811,Kepler-390 b,0,69990.0,41.208333333333336,291.6250002333,150.58956456297116,429.55
812,Kepler-390 c,0,69990.0,41.208333333333336,291.6250002333,150.58956456297116,429.55
813,TAP 26 b,0,15532.0,17.388055555555557,64.71666671844,116.61949133562536,
814,1RXS1609 b,0,58170.0,-20.91722222222222,242.37500019389998,102.16301304265657,145.0
815,Kepler-1531 b,0,68435.0,39.37083333333334,285.14583356145,61.75306917834973,
816,Kepler-1186 b,0,69235.0,47.10166666666667,288.47916689745,89.46587149251354,
817,HD 984 b,0,850.0,-6.199166666666667,3.5416666694999996,27.968422394775686,47.1
818,Kepler-1382 b,0,70891.0,39.04805555555556,295.37916690297,72.07560425377353,
819,Kepler-724 b,0,70429.0,44.79277777777778,293.45416690142997,66.00463409798112,
820,HD 219134 b,0,83596.97632,57.16835619444444,348.32073494532324,120.5350153930884,6.546
821,HD 219134 c,0,83596.97632,57.16835619444444,348.32073494532324,120.5350153930884,6.546
822,HD 219134 d,0,83596.97632,57.16835619444444,348.32073494532324,120.5350153930884,6.546
823,HD 219134 e,0,83596.97632,57.16835619444444,348.32073494532324,120.5350153930884,6.546
824,HD 219134 f,0,83596.97632,57.16835619444444,348.32073494532324,120.5350153930884,6.546
